gender,grade,topik,income,self_esteem,interc_sensitivity,acculturative_stress
2,4,1,2,29.0,90.0,88.0
1,2,1,2,30.0,66.0,88.0
2,3,1,2,26.0,96.0,127.0
2,2,0,3,30.0,76.0,62.0
2,3,1,2,33.0,90.0,57.0
1,3,1,2,21.0,80.0,120.0
1,2,1,2,19.0,61.0,70.0
2,4,0,2,36.0,94.0,64.0
2,3,1,2,34.0,105.0,48.0
1,4,1,2,22.0,81.0,107.0
1,3,1,2,17.0,56.0,127.0
1,3,1,1,32.0,110.0,61.0
1,2,1,2,34.0,98.0,49.0
1,3,1,1,29.0,52.0,58.0
2,2,0,2,37.0,79.0,88.0
1,1,1,2,32.0,89.0,133.0
1,2,1,2,24.0,87.0,41.0
2,3,0,2,36.0,98.0,66.0
1,2,1,3,21.0,76.0,115.0
1,4,1,3,30.0,72.0,105.0
1,2,0,2,34.0,73.0,107.0
2,2,1,2,25.0,79.0,77.0
2,2,1,2,37.0,101.0,52.0
2,2,1,2,28.0,75.0,82.0
1,3,1,2,37.0,107.0,74.0
2,4,1,2,34.0,82.0,73.0
1,4,1,3,23.0,56.0,157.0
2,2,1,2,31.0,89.0,104.0
2,3,1,1,35.0,107.0,48.0
2,3,1,2,23.0,72.0,97.0
2,4,1,2,21.0,74.0,96.0
2,2,0,2,36.0,102.0,52.0
1,1,1,2,35.0,70.0,54.0
2,2,1,1,20.0,75.0,116.0
2,1,1,2,24.0,90.0,84.0
2,4,1,2,37.0,84.0,98.0
2,4,1,2,26.0,78.0,69.0
2,2,1,2,34.0,78.0,44.0
2,3,1,2,22.0,85.0,52.0
1,4,0,3,28.0,90.0,109.0
1,2,1,3,29.0,97.0,65.0
1,4,1,2,27.0,83.0,54.0
2,2,1,2,30.0,85.0,87.0
2,2,1,2,36.0,88.0,51.0
2,4,1,2,34.0,80.0,65.0
2,2,0,3,33.0,90.0,103.0
1,4,1,2,25.0,89.0,81.0
2,3,1,2,36.0,109.0,49.0
2,1,1,2,28.0,95.0,71.0
2,2,0,3,32.0,82.0,103.0
1,3,1,2,33.0,91.0,91.0
2,2,1,2,33.0,80.0,59.0
1,2,1,2,38.0,62.0,73.0
1,2,1,2,33.0,86.0,105.0
2,3,1,3,24.0,91.0,83.0
2,4,1,2,25.0,83.0,83.0
2,3,1,3,33.0,84.0,95.0
2,4,1,2,36.0,77.0,125.0
2,2,0,2,25.0,75.0,73.0
2,2,1,2,31.0,94.0,49.0
1,4,1,3,31.0,63.0,162.0
1,3,1,2,29.0,90.0,50.0
1,4,1,2,23.0,80.0,99.0
1,3,1,2,37.0,79.0,99.0
2,2,1,3,33.0,94.0,47.0
2,2,1,2,32.0,88.0,73.0
1,2,1,2,27.0,83.0,79.0
2,1,1,2,25.0,101.0,117.0
2,4,1,3,25.0,78.0,96.0
2,4,0,2,37.0,105.0,48.0
1,2,1,2,36.0,95.0,66.0
1,2,0,3,39.0,92.0,54.0
1,2,1,2,38.0,94.0,84.0
2,2,1,3,28.0,54.0,63.0
2,4,1,2,31.0,63.0,99.0
1,3,1,2,35.0,85.0,83.0
2,2,1,2,36.0,77.0,81.0
2,3,1,2,24.0,57.0,108.0
1,2,1,2,23.0,78.0,126.0
2,3,1,2,27.0,75.0,120.0
2,4,1,2,31.0,77.0,65.0
2,4,1,3,29.0,74.0,98.0
2,3,1,3,29.0,86.0,48.0
2,3,1,2,26.0,78.0,81.0
1,2,1,2,22.0,76.0,133.0
2,4,1,3,36.0,75.0,97.0
1,4,1,2,31.0,82.0,73.0
2,4,1,2,28.0,70.0,119.0
1,3,1,2,26.0,68.0,117.0
1,4,1,2,34.0,85.0,46.0
1,3,1,2,26.0,88.0,104.0
2,3,1,3,25.0,70.0,49.0
1,3,0,2,32.0,88.0,81.0
1,2,1,2,26.0,86.0,77.0
